   alt                        press                      den                        temp                       eddy                       H2O                        CO2                        N2                         H2                         CH4                        CO                         
   6.88648898644652263E+002   1.40463416900021772E-006   4.73196459157712188E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224827E-010   1.22046193895224827E-010
   6.99667281022966677E+002   1.15331941913142634E-006   3.88532955736986484E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   7.10685663401281090E+002   9.47144858075778416E-007   3.19076385184264102E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   7.21704045779595504E+002   7.77966632665466335E-007   2.62083227109713125E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716785E-003   9.76369551161799035E-003   1.22046193895224871E-002   9.74202363016490103E-001   1.22046193895224852E-010   1.22046193895224852E-010
   7.32722428157909917E+002   6.39117411546318993E-007   2.15307375261290234E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   7.43740810536224444E+002   5.25137233164099740E-007   1.76909464961970039E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   7.54759192914538858E+002   4.31553702949728868E-007   1.45382825421057500E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798861E-003   1.22046193895224836E-002   9.74202363016489992E-001   1.22046193895224801E-010   1.22046193895224801E-010
   7.65777575292853271E+002   3.54702435809733969E-007   1.19492989978485840E+013   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489770E-001   1.22046193895224801E-010   1.22046193895224801E-010
   7.76795957671167685E+002   2.91580330213295337E-007   9.82282667345154492E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798861E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   7.87814340049482098E+002   2.39725634523235526E-007   8.07593350135235645E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161799035E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   7.98832722427796625E+002   1.97119884151827807E-007   6.64062097226462109E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   8.09851104806111039E+002   1.60324539069021879E-007   5.40105074174239941E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   8.20869487184425452E+002   1.32099836555253614E-007   4.45021033182974121E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798688E-003   1.22046193895224853E-002   9.74202363016490103E-001   1.22046193895224827E-010   1.22046193895224827E-010
   8.31887869562739866E+002   1.08939855980901632E-007   3.66999146461072412E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716741E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   8.42906251941054279E+002   8.98501338388772309E-008   3.02689241980106299E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798514E-003   1.22046193895224836E-002   9.74202363016489881E-001   1.22046193895224827E-010   1.22046193895224827E-010
   8.53924634319368806E+002   7.41131037850500537E-008   2.49673965380150781E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716698E-003   9.76369551161798688E-003   1.22046193895224819E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   8.64943016697683220E+002   6.11381974607343084E-008   2.05963796098569897E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716611E-003   9.76369551161798341E-003   1.22046193895224801E-002   9.74202363016489881E-001   1.22046193895224801E-010   1.22046193895224801E-010
   8.75961399075997633E+002   5.04392612073654509E-008   1.69920968267806543E+012   2.15000000000000000E+002   5.00000000000000000E+005   3.82932183827716655E-003   9.76369551161798514E-003   1.22046193895224819E-002   9.74202363016489992E-001   1.22046193895224801E-010   1.22046193895224801E-010
